FLTDLY_C.ZD2, FilterDly (v1.10 8.37%)
FLTERPPD.ZD2, FilterPPD (v1.00 18.50%)
LOFIDLY.ZD2, LoFiDelay (v1.00 23.33%)
PITDLY_C.ZD2, Pitch DLY (v1.10 8.61%)
TREMDLY.ZD2, TremDelay (v1.00 37.20%)
PHASDL_C.ZD2, PhaseDly (v1.10 11.89%)
DRV_ECO.ZD2, DriveEcho (v1.00 42.23%)
APANDL_C.ZD2, A-Pan DLY (v1.00 10.17%)
SLATDL_C.ZD2, SlwAtkDly (v1.10 12.82%)
DYNADLY.ZD2, DynaDelay (v1.00 7.24%)
ICEDLY_C.ZD2, ICE Delay (v1.00 26.08%)
HLDDLY_M.ZD2, HoldDelay (v1.10 5.82%)
TGHLDDLY.ZD2, TrgHldDly (v1.00 5.93%)

:: Reverb ::
ROOM_C.ZD2, RoomREV (v1.00 9.84%)
BRGTROOM.ZD2, BrghtRoom (v1.10 9.84%)
TiledRm.ZD2, TiledRoom (v1.00 8.14%)
SPRING_C.ZD2, SpringREV (v1.10 9.27%)
Spring63.ZD2, Spring Reve (v1.00 23.93%)
FDSPRING.ZD2, FD Spring (v1.00 24.77%)
PLTREV_C.ZD2, Plate REV (v1.00 20.51%)
HALL_C.ZD2, Hall REV (v1.00 10.83%)
BRGTHALL.ZD2, BrghtHall (v1.10 10.83%)
HDHALL_C.ZD2, HD Hall (v1.00 25.92%)
CHURCH_C.ZD2, ChurchREV (v1.00 29.53%)
Arena.ZD2, Arena (v1.00 9.35%)
AMBENC_C.ZD2, Ambience (v1.00 29.04%)
CHAMB_C.ZD2, Chamber (v1.00 22.64%)
AIR_C.ZD2, AirReverb (v1.10 6.40%)
ERLREF_C.ZD2, EarlyRef (v1.10 10.01%)
SLAPBACK.ZD2, Slap Back R (v1.00 13.47%)
GATERV_C.ZD2, GateRevrb (v1.00 20.10%)
HLDVRB1U.ZD2, HoldRevrb (v1.00 21.66%)
SPCHOL_C.ZD2, SpaceHole (v1.00 29.12%)
PARTCL_C.ZD2, ParticleR (v1.00 37.73%)
MODREV.ZD2, ModReverb (v1.00 16.29%)
LOFI_REV.ZD2, LO-FI Rever (v1.00 31.17%)
CAVE.ZD2, Cave Reverb (v1.00 22.52%)
ReversRv.ZD2, Reverse Rev (v1.00 20.11%)
Echo.ZD2, Echo Reverb (v1.00 22.12%)
TremRv.ZD2, Tremolo Rev (v1.00 37.60%)
HolyFLRB.ZD2, Holy Reverb (v1.00 34.19%)
DynaRev.ZD2, Dyna Reverb (v1.00 25.14%)
Shimmer.ZD2, Shimmer Rev (v1.00 46.25%)
SHMR_PLT.ZD2, Shimmer2 (v1.00 53.73%)
MangleSp.ZD2, Mangled Spa (v1.00 42.23%)
DualRev.ZD2, Dual Reverb (v1.00 41.22%)
